Date,Cumulative World Oil Production(Million barrels/ day)
1965,31.798589863
1966,34.5634723479
1967,37.1127818192
1968,40.4298674372
1969,43.6268861397
1970,48.0560448493
1971,50.838486189
1972,53.6614804481
1973,58.4595721014
1974,58.6136135237
1975,55.8222255889
1976,60.4098663337
1977,62.7157878822
1978,63.3383852573
1979,66.060195685
1980,62.9585130007
1981,59.5466370392
1982,57.3119627158
1983,56.6150068583
1984,57.6955072344
1985,57.4595291967
1986,60.4350865775
1987,60.7447581893
1988,63.1103114148
1989,64.0025143935
1990,65.3849237442
1991,65.2035810439
1992,65.7163346045
1993,65.9775055331
1994,67.0724889381
1995,67.9899909672
1996,69.844115702
1997,72.1004385327
1998,73.4568040324
1999,72.2932625791
2000,74.9251506703
2001,75.1505160872
2002,74.9011835245
2003,77.5498138489
2004,80.93825909
2005,81.9634816782
2006,82.4166794698
2007,82.2202314161
2008,82.8472979484
2009,81.1486781359
2010,83.1896493388
2011,83.9802830323
2012,86.1497026481
2013,86.5793244518
2014,88.6726236553
