"","year","Dubai Crude Oil Price US per barrel IMFPCP2014Jan"
"1","1980",35.8458333333333
"2","1981",34.2941666666667
"3","1982",31.7566666666667
"4","1983",28.4675
"5","1984",27.5091666666667
"6","1985",26.5083333333333
"7","1986",13.0558333333333
"8","1987",16.9641666666667
"9","1988",13.36
"10","1989",15.7808333333333
"11","1990",20.73
"12","1991",16.6066666666667
"13","1992",17.1383333333333
"14","1993",14.9058333333333
"15","1994",14.8316666666667
"16","1995",16.1275
"17","1996",18.5366666666667
"18","1997",18.1016666666667
"19","1998",12.09
"20","1999",17.0758333333333
"21","2000",26.085
"22","2001",22.71
"23","2002",23.7341666666667
"24","2003",26.7333333333333
"25","2004",33.4558333333333
"26","2005",49.2016666666667
"27","2006",61.4316666666667
"28","2007",68.3683333333333
"29","2008",93.7766666666667
"30","2009",61.7566666666667
"31","2010",78.0575
"32","2011",106.025833333333
"33","2012",108.921666666667
"34","2013",105.4275
"35","2014",96.6641666666667
