Date,"Cummulative U.S. Field Crude Oil Production, Sourcekey MCRFPUS1 (Billion Barrels/YEAR)"
1900,0.063621
1901,0.069389
1902,0.088767
1903,0.100461
1904,0.117081
1905,0.134717
1906,0.126494
1907,0.166095
1908,0.178527
1909,0.183171
1910,0.209557
1911,0.220449
1912,0.222935
1913,0.248446
1914,0.265763
1915,0.281104
1916,0.300767
1917,0.335316
1918,0.355928
1919,0.378367
1920,0.442929
1921,0.472183
1922,0.557531
1923,0.732407
1924,0.71394
1925,0.620373
1926,0.770874
1927,0.901129
1928,0.901474
1929,1.007323
1930,0.898011
1931,0.851081
1932,0.785159
1933,0.905656
1934,0.908065
1935,0.993942
1936,1.098513
1937,1.277653
1938,1.213254
1939,1.264256
1940,1.503176
1941,1.404182
1942,1.385479
1943,1.505613
1944,1.677904
1945,1.713655
1946,1.733424
1947,1.856987
1948,2.020185
1949,1.84194
1950,1.973574
1951,2.247711
1952,2.289836
1953,2.357082
1954,2.314988
1955,2.484428
1956,2.617283
1957,2.616901
1958,2.448987
1959,2.57459
1960,2.574933
1961,2.621758
1962,2.676189
1963,2.752723
1964,2.786822
1965,2.848514
1966,3.027763
1967,3.215742
1968,3.329042
1969,3.371751
1970,3.51745
1971,3.453914
1972,3.455368
1973,3.360903
1974,3.202585
1975,3.056779
1976,2.97618
1977,3.009265
1978,3.178216
1979,3.12131
1980,3.146365
1981,3.128624
1982,3.156715
1983,3.170999
1984,3.249696
1985,3.274553
1986,3.168252
1987,3.047378
1988,2.979123
1989,2.778773
1990,2.684687
1991,2.707039
1992,2.624632
1993,2.499033
1994,2.431476
1995,2.394268
1996,2.366017
1997,2.354831
1998,2.281919
1999,2.146732
2000,2.130707
2001,2.117511
2002,2.096588
2003,2.061995
2004,1.991394
2005,1.892095
2006,1.856606
2007,1.853243
2008,1.830416
2009,1.954241
2010,1.998583
2011,2.057608
2012,2.370114
2013,2.720782
2014,3.182583
